HRYSHYN Henadiy,11:22
KHVOSTYK Henadiy,10:06
MYKHAILYK Oleg,10:22
LYTOVCHENKO Dmytro,9:24
PIDDUBNYI Ruslan,10:06
MOKRENKO Oleksandr,10:10
DUBYNSKYI Serhii,11:19
PUHACH Volodymyr,10:10
PUTIN Maksim,10:49
SIDOROVA Tatyana,9:56
TSYBULNYK Roman,11:17
MOKHIR Andriy,10:49
KNIAZIEV Denys,9:40
REMNOV Bohdan,9:40
ZABOLOTNYI Viacheslav,10:01
KOVALCHUK Andriy,13:15
HAVRYLIUK Dmytro,DNF
KRYSHAN Oksana,DNF
NIEDIELCHEV Maksym,9:59
USENKO Andrii,10:16
BIELIAVSKYI Andrii,9:56
SHYNKARENKO Gennadiy,10:15
REVIN Oleksandr,9:47
KUZMENKO Olexandr,11:17
RAFIKOV Konstantin,10:13
GOLUBKOV Andrii,9:59
MALEVANCHUK Artem,13:14
KHAPALOV Yaroslav,11:17
KULYK Oleksandr,11:22
ZARUDNYI Dmitro,11:04
MOROZ Maryna,10:21
