Hryshyn Henadiy,11:50
Zabolotnyi Viacheslav,11:25
Mykhailyk Oleg,11:21
Korovynskyi Ihor,12:04
Kulik Aleksandr,11:25
Fiedina Serhii,09:48
DUBYNSKYI Serhii,11:46
KOVALCHUK ANDRII,10:32
Drozd Olena,12:00
Shynkarenko Gennadiy,10:48
Lytovchenko Dmytro,11:01
Zbarazhska Olena,13:25
Myhal Andrii,13:25
Tsybulnyk Roman,12:15
Puhach Volodymyr,11:47
Shamrai Maksym,09:46
Fedorov Volodymyr,10:57
Kysil Andrii,10:57
Panasenko Pavlo,13:25
Mokrenko Oleksandr,11:20
Khvostyk Henadiy,10:59
Khapalov Yaroslav,11:25
Putin Maksim,11:25
Sapych Nataliia,11:46
Kovalenko Yevhenii,11:25
Sevidov Sergiy,10:32
Kniaziev Denys,09:16
Remnov Bohdan,09:16
Radonov Oleksii,09:48
Samoilenko Oksana,10:57
Honcharov Volodymyr,10:57
Volik Oleksandr,12:00
Moroz Maryna,11:21
Podolko Kostiantyn,11:50
Tsybulin Dmytro,12:04
Vorona Bohdan,11:25
Prodaivoda Tamara,12:14
Eroha Aleksandr,10:32
Vasin Andrii,10:32
