SHAMRAI Maksym,9:42
DUBYNSKYI Serhii,10:55
PUHACH Volodymyr,10:55
LYTOVCHENKO Dmytro,10:57
MOROZ Maryna,11:03
NIKULIN Oleksandr,11:04
KHVOSTYK Henadiy,11:08
HRYSHYN Henadiy,11:10
KOVALENKO Yevhenii,11:10
NIEDIELCHEV Maksym,11:17
MALICHENKO Aleksandr,11:23
ZABOLOTNYI Viacheslav,11:23
SKOROBAGATKO Bogdan,12:19
GLADILINA Oleksandra,9:45
OSINSKIY Viktor,9:47
REVA Igor,9:48
RUD Maksym,9:56
KOLOMOITSEV Dmitriy,9:57
ASAULA Sergii,9:58
VELICHKO Oleksandr,10:12
SHYCHKIN Mykyta,10:13
VOZHDAYENKO Yaroslav,10:14
SEMKO Volodymyr,10:15
SYZONENKO Dmytro,11:38
ANDREYKO Oleksandr,11:42
KOTLIAR Anatolii,12:41
